Event,Division,Sex,Year,Points
10000m,NAIA,Men,2010,777
10000m,NAIA,Men,2011,813
10000m,NAIA,Men,2012,758
10000m,NAIA,Men,2013,767
10000m,NAIA,Men,2014,767
10000m,NAIA,Men,2015,771
10000m,NAIA,Men,2016,740
10000m,NAIA,Men,2017,743
10000m,NAIA,Men,2018,752
10000m,NAIA,Men,2019,761
10000m,NAIA,Men,2021,797
10000m,NAIA,Men,2022,816
10000m,NAIA,Men,2023,819
10000m,NAIA,Women,2010,801
10000m,NAIA,Women,2011,807
10000m,NAIA,Women,2012,779
10000m,NAIA,Women,2013,785
10000m,NAIA,Women,2014,785
10000m,NAIA,Women,2015,795
10000m,NAIA,Women,2016,749
10000m,NAIA,Women,2017,779
10000m,NAIA,Women,2018,782
10000m,NAIA,Women,2019,800
10000m,NAIA,Women,2021,781
10000m,NAIA,Women,2022,803
10000m,NAIA,Women,2023,807
10000m,NCAA D-I,Men,2010,1015
10000m,NCAA D-I,Men,2011,1007
10000m,NCAA D-I,Men,2012,1016
10000m,NCAA D-I,Men,2013,1003
10000m,NCAA D-I,Men,2014,1021
10000m,NCAA D-I,Men,2015,1017
10000m,NCAA D-I,Men,2016,1014
10000m,NCAA D-I,Men,2017,1019
10000m,NCAA D-I,Men,2018,1018
10000m,NCAA D-I,Men,2019,1032
10000m,NCAA D-I,Men,2021,1054
10000m,NCAA D-I,Men,2022,1074
10000m,NCAA D-I,Men,2023,1073
10000m,NCAA D-I,Women,2010,1008
10000m,NCAA D-I,Women,2011,1017
10000m,NCAA D-I,Women,2012,1024
10000m,NCAA D-I,Women,2013,1023
10000m,NCAA D-I,Women,2014,1033
10000m,NCAA D-I,Women,2015,1034
10000m,NCAA D-I,Women,2016,1029
10000m,NCAA D-I,Women,2017,1032
10000m,NCAA D-I,Women,2018,1038
10000m,NCAA D-I,Women,2019,1046
10000m,NCAA D-I,Women,2021,1049
10000m,NCAA D-I,Women,2022,1050
10000m,NCAA D-I,Women,2023,1070
